da_key,en,uk,ar,fa,ur,pl,de
"Automekaniker","Auto mechanic","Автомеханік","ميكانيكي سيارات","مکانیک خودرو","آٹو مکینک","Mechanik samochodowy","Automechaniker"
"Bartender","Bartender","Бармен","ساقي (بارتندر)","بارمن","بارٹینڈر","Barman","Barmann"
"Begravelses- og kirkegårdsarbejde","Cemetery and funeral service work","Цвинтарна та ритуальна служба","أعمال المقابر وخدمات الجنازات","کار خدمات قبرستان و مراسم تدفین","تدفین اور قبرستان سے متعلق کام","Prace cmentarne i pogrzebowe","Friedhofs- und Bestattungsarbeiten"
"Behandling og genoptræning","Treatment and rehabilitation","Лікування та реабілітація","العلاج وإعادة التأهيل","درمان و توان‌بخشی","علاج اور بحالی (ری ہیبلی ٹیشن)","Leczenie i rehabilitacja","Behandlung und Rehabilitation"
"Biblioteks- og museumsarbejde","Library and museum work","Бібліотечна та музейна справа","أعمال المكتبات والمتاحف","کار کتابخانه و موزه","لائبریری اور میوزیم کا کام","Praca biblioteczna i muzealna","Bibliotheks- und Museumsarbeit"
"Bil- og varevognschauffør til vareudbringning","Van and delivery driver","Водій фургона та доставки","سائق سيارة أو شاحنة توصيل","راننده ون و تحویل کالا","ڈیلیوری ڈرائیور (گاڑی اور وین)","Kierowca furgonetki i dostawcy","Transporter- und Lieferfahrer"
"Bogholderi- og regnskabsarbejde","Bookkeeping and accounting work","Бухгалтерська та бухгалтерська робота","أعمال مسك الدفاتر والمحاسبة","کار دفترداری و حسابداری","بک کیپنگ اور اکاؤنٹنگ کا کام","Prace księgowe i księgowe","Buchhaltungs- und Buchhaltungsarbeiten"
"Brolægger","Paver","Асфальтоукладальник","رصاف طرق","سنگفرش‌کار","سڑکیں یا فرش ہموار کرنے والا","Brukarz","Fertiger"
"Budarbejde mv.","Delivery work and related roles","Робота з доставки та відповідні ролі","أعمال التوصيل وما شابهها","کار تحویل و مشاغل مرتبط","ڈیلیوری کا کام وغیرہ","Praca dostawcza i powiązane role","Lieferarbeit und damit verbundene Rollen"
"Buschauffør","Bus driver","Водій автобуса","سائق حافلة","راننده اتوبوس","بس ڈرائیور","Kierowca autobusu","Busfahrer"
"Butiksassistent","Shop assistant","Продавець магазину","مساعد متجر","دستیار فروشگاه","شاپ اسسٹنٹ","Asystent sklepu","Verkäufer"
"Butiksekspedition","Retail sales work","Робота з роздрібних продажів","مبيعات التجزئة","کار فروش خرده‌فروشی","ریٹیل سیلز کا کام","Praca w sprzedaży detalicznej","Arbeit im Einzelhandel"
"Butiksmedhjælper","Shop assistant helper","Помічник продавця","معاون متجر","کمک‌فروش فروشگاه","دکان کا مددگار","Pomocnik asystenta sklepu","Verkäuferhelfer"
"Bygge og anlæg","Construction and civil works","Будівельні та громадські роботи","البناء والهندسة المدنية","ساخت‌وساز و کارهای عمرانی","تعمیرات اور سول انجینئرنگ","Prace budowlane i cywilne","Bau- und Tiefbauarbeiten"
"Byggeleder","Construction manager","Керівник будівництва","مدير بناء","مدیر ساخت","تعمیراتی مینیجر","Kierownik budowy","Bauleiter"
"Bygningsarbejde mv.","Building work and related roles","Будівельна робота та відповідні ролі","أعمال البناء وما شابهها","کار ساختمانی و مشاغل مرتبط","عمارت کی تعمیر کا کام وغیرہ","Prace budowlane i powiązane z nimi role","Bauarbeiten und damit verbundene Rollen"
"Bygningsmaler","Building painter","Будівельний маляр","دهان مباني","نقاش ساختمان","عمارتوں کا پینٹر","Malarz budowlany","Baumaler"
"Børnepasning","Childcare","Догляд за дітьми","رعاية الأطفال","مراقبت از کودک","بچوں کی دیکھ بھال (چائلڈ کیئر)","Opieka nad dziećmi","Kinderbetreuung"
"Børnepasser","Childminder","няня","جليس أطفال","مراقب کودک","بچوں کی دیکھ بھال کرنے والا/والی","Opiekunka do dziecka","Tagesmutter"
"Cafemedarbejder","Cafe worker","Працівник кафе","موظف مقهى","کارگر کافه","کیفے ورکر","Pracownik kawiarni","Café-Mitarbeiter"
"Callcentermedarbejder","Call center worker","Працівник кол-центру","موظف مركز اتصال","کارمند مرکز تماس","کال سینٹر ورکر","Pracownik call center","Callcenter-Mitarbeiter"
"Chauffør, fragt, distribution, blandet kørsel","Driver, freight, distribution, mixed driving","Водій, вантажні перевезення, дистрибуція, змішане водіння","سائق شحن وتوزيع","راننده بار و توزیع","ڈرائیور (مال برداری اور تقسیم)","Kierowca, transport, dystrybucja, jazda mieszana","Fahrer, Fracht, Vertrieb, gemischtes Fahren"
"Chauffør, persontransport","Driver, passenger transport","Водiй, пасажирський транспорт","سائق نقل ركاب","راننده حمل‌ونقل مسافر","ڈرائیور (مسافروں کی نقل و حمل)","Kierowca, przewóz osób","Fahrer, Personentransport"
"Chauffør, specialtransport","Driver, special transport","Водiй спецтранспорту","سائق نقل خاص","راننده حمل‌ونقل ویژه","ڈرائیور (خصوصی نقل و حمل)","Kierowca, transport specjalny","Fahrer, Sondertransport"
"Driftsplanlægger","Operations planner","Операційний планувальник","مخطط عمليات","برنامه‌ریز عملیات","آپریشنز پلانر","Planista operacji","Einsatzplaner"
"Ejendomsservice og måleraflæsning","Property services and meter reading","Майнові послуги та зняття показань лічильників","خدمات العقارات وقراءة العدادات","خدمات ملکی و قرائت کنتور","پراپرٹی سروسز اور میٹر ریڈنگ","Obsługa nieruchomości i odczyt liczników","Immobiliendienstleistungen und Zählerablesung"
"Ekspedient","Sales clerk","Продавець","موظف مبيعات","فروشنده","سیلز کلرک","Sprzedawca","Verkäuferin"
"Elektriker","Electrician","Електрик","كهربائي","برق‌کار","الیکٹریشن","Elektryk","Elektriker"
"Elektrikerarbejde","Electrical work","Електромонтажні роботи","أعمال كهربائية","کار برق","بجلی کا کام","Prace elektryczne","Elektroarbeiten"
"Elever","Students and trainees","Студенти та слухачі","طلاب ومتدربون","دانشجویان و کارآموزان","طلباء اور زیر تربیت افراد (ٹرینی)","Studenci i stażyści","Studenten und Auszubildende"
"Elever: Hotel, restauration, køkken, kantine","Trainees: hotel, restaurant, kitchen, and canteen","Стажери: готель, ресторан, кухня, їдальня","متدربون: الفنادق والمطاعم والمطابخ","کارآموزان: هتل، رستوران، آشپزخانه و سلف","ٹرینی: ہوٹل، ریسٹورنٹ، کچن اور کینٹین","Stażyści: hotel, restauracja, kuchnia i stołówka","Auszubildende: Hotel, Restaurant, Küche und Kantine"
"Elever: Kontor, administration, regnskab og finans","Trainees: office, administration, accounting, and finance","Стажери: офіс, адміністрація, бухгалтерія, фінанси","متدربون: المكتب والإدارة والمحاسبة","کارآموزان: دفتر، مدیریت، حسابداری و مالی","ٹرینی: دفتر، انتظامیہ، اکاؤنٹنگ اور فنانس","Praktykanci: biuro, administracja, księgowość i finanse","Auszubildende: Büro, Verwaltung, Buchhaltung und Finanzen"
"Elever: Pædagogisk, socialt og teologisk arbejde","Trainees: pedagogical, social, and theological work","Стажисти: педагогічна, соціальна, богословська робота","متدربون: العمل التربوي والاجتماعي واللاهوتي","کارآموزان: کار تربیتی، اجتماعی و الهیات","ٹرینی: تعلیمی، سماجی اور مذہبی کام","Stażyści: praca pedagogiczna, społeczna i teologiczna","Auszubildende: pädagogische, soziale und theologische Arbeit"
"Elever: Sundhed, omsorg og personlig pleje","Trainees: health, care, and personal support","Стажери: здоров'я, догляд та особиста підтримка","متدربون: الصحة والرعاية الشخصية","کارآموزان: سلامت، مراقبت و حمایت شخصی","ٹرینی: صحت، نگہداشت اور ذاتی دیکھ بھال","Stażyści: zdrowie, opieka i wsparcie osobiste","Auszubildende: Gesundheit, Pflege und persönliche Betreuung"
"Ernæringsassistent","Nutrition assistant","Асистент по харчуванню","مساعد تغذية","دستیار تغذیه","غذائی ماہر کا معاون","Asystent żywienia","Ernährungsassistent"
"Ernæringsassistentelev","Nutrition assistant trainee","Стажист помічника з питань харчування","متدرب مساعد تغذية","کارآموز دستیار تغذیه","ٹرینی غذائی معاون","Asystent żywienia, stażysta","Auszubildende zur Ernährungsassistentin"
"Fastfood ekspedient","Fast food counter assistant","Помічник прилавка швидкого харчування","موظف وجبات سريعة","متصدی فست‌فود","فاسٹ فوڈ کاؤنٹر اسسٹنٹ","Asystent stoiska fast food","Assistentin an der Fast-Food-Theke"
"Flyklarerer","Flight dispatcher","Бортовий диспетчер","موظف تجهيز طائرات","هماهنگ‌کننده پرواز","فلائٹ ڈسپچر","Dyspozytor lotu","Flugverteiler"
"Flyveleder","Air traffic controller","Авіадиспетчер","مراقب حركة جوية","کنترل‌گر ترافیک هوایی","ایئر ٹریفک کنٹرولر","Kontroler ruchu lotniczego","Fluglotse"
"Folkeskolelærer","Primary and lower secondary school teacher","Учитель початкової та неповної середньої школи","مدرس مرحلة أساسية","معلم دبستان و متوسطه اول","پرائمری اور سیکنڈری سکول ٹیچر","Nauczycielka szkół podstawowych i gimnazjów","Lehrer für Grund- und Sekundarstufe I"
"Forskning og universitetsundervisning, naturvidenskab og teknik","Research and university teaching in natural sciences and engineering","Дослідження та університетське викладання природничих та технічних наук","البحث والتدريس الجامعي في العلوم الطبيعية والهندسة","پژوهش و آموزش دانشگاهی در علوم طبیعی و مهندسی","سائنس اور انجینئرنگ میں تحقیق اور یونیورسٹی کی تدریس","Badania i dydaktyka uniwersytecka w zakresie nauk przyrodniczych i inżynieryjnych","Forschung und universitäre Lehre in den Natur- und Ingenieurwissenschaften"
"Forskning og universitetsundervisning, samfundsvidenskab","Research and university teaching in social sciences","Дослідження та університетське викладання соціальних наук","البحث والتدريس الجامعي في العلوم الاجتماعية","پژوهش و آموزش دانشگاهی در علوم اجتماعی","سائنس اور انجینئرنگ میں تحقیق اور یونیورسٹی کی تدریس","Badania i dydaktyka uniwersytecka w zakresie nauk społecznych","Forschung und universitäre Lehre in den Sozialwissenschaften"
"Foto- og kameraarbejde","Photography and camera work","Фото та операторська робота","أعمال التصوير والكاميرا","کار عکاسی و دوربین","فوٹوگرافی اور کیمرہ کا کام","Fotografia i praca z kamerą","Fotografie und Kameraarbeit"
"Fuldmægtig","Senior administrative officer","Старший адміністративний офіцер","موظف إداري أول","کارشناس ارشد اداری","سینیئر انتظامی افسر","Starszy urzędnik administracyjny","Leitender Verwaltungsbeamter"
"Grov- og klejnsmedearbejde mv.","Metalworking and blacksmithing work and related roles","Металообробка та ковальська робота та суміжні ролі","أعمال الحدادة والمعادن","کار فلزکاری و آهنگری و مشاغل مرتبط","دھات کاری اور لوہار کا کام وغیرہ","Prace związane z obróbką metali i kowalstwem oraz stanowiska pokrewne","Metall- und Schmiedearbeiten und damit verbundene Tätigkeiten"
"Handicaphjælper","Disability support assistant","Асистент з підтримки інвалідів","مساعد رعاية ذوي الاحتياجات الخاصة","دستیار حمایت از افراد دارای معلولیت","معذور افراد کا معاون","Asystent ds. osób niepełnosprawnych","Assistent zur Unterstützung bei Behinderungen"
"Hospitalsserviceassistent","Hospital service assistant","Асистент лікарняної служби","مساعد خدمات مستشفى","دستیار خدمات بیمارستانی","ہسپتال سروس اسسٹنٹ","Asystent obsługi szpitala","Assistent im Krankenhausdienst"
"Hotel, restauration, køkken, kantine","Hotel, restaurant, kitchen, and canteen","Готель, ресторан, кухня, їдальня","الفنادق والمطاعم والمطابخ","هتل، رستوران، آشپزخانه و سلف","ہوٹل، ریسٹورنٹ، کچن اور کینٹین","Hotel, restauracja, kuchnia i stołówka","Hotel, Restaurant, Küche und Kantine"
"Industriel produktion","Industrial production","Промислове виробництво","الإنتاج الصناعي","تولید صنعتی","صنعتی پیداوار","Produkcja przemysłowa","Industrielle Produktion"
"Industrislagter","Industrial butcher","Промисловий м'ясник","جزار صناعي","قصاب صنعتی","صنعتی قصاب","Rzeźnik przemysłowy","Industrieller Metzger"
"Ingeniørarbejde","Engineering work","Інженерні роботи","أعمال هندسية","کار مهندسی","انجینئرنگ کا کام","Praca inżynierska","Ingenieursarbeit"
"Isoleringsarbejde","Insulation work","Ізоляційні роботи","أعمال العزل","کار عایق‌کاری","انسولیشن کا کام","Prace izolacyjne","Isolierarbeiten"
"It og teleteknik","IT and telecommunications engineering","ІТ та телекомунікаційна інженерія","تكنولوجيا المعلومات والاتصالات","فناوری اطلاعات و مهندسی مخابرات","آئی ٹی اور ٹیلی کمیونیکیشن انجینئرنگ","Inżynieria informatyczna i telekomunikacyjna","IT- und Telekommunikationstechnik"
"Jern, metal og auto","Metal, iron, and automotive work","Роботи з металу, заліза та автомобіля","المعادن والسيارات","کار فلز، آهن و خودرو","لوہا، دھات اور آٹو کا کام","Prace metalowe, żelazne i samochodowe","Metall-, Eisen- und Automobilarbeiten"
"Juridisk arbejde","Legal work","Юридична робота","عمل قانوني","کار حقوقی","قانونی کام","Legalna praca","Juristische Arbeit"
"Jurist","Lawyer","Юрист","حقوقي / محامي","وکیل","قانون دان / وکیل","Prawnik","Rechtsanwalt"
"Kloakrørlægger","Sewer pipe layer","Укладач каналізаційних труб","عامل تمديد أنابيب صرف صحي","لوله‌گذار فاضلاب","سیوریج پائپ بچھانے والا","Warstwa rury kanalizacyjnej","Kanalrohrschicht"
"Kok","Cook","Кухар","طباخ","آشپز","باورچی (کک)","Kucharz","Kochen"
"Kommunikation og erhvervssprogligt arbejde","Communication and business language work","Спілкування та робота з діловою мовою","الاتصالات واللغات التجارية","کار ارتباطات و زبان‌های تجاری","مواصلات اور کاروباری لسانی کام","Komunikacja i język biznesowy działają","Kommunikations- und Geschäftsspracharbeit"
"Kontor, administration, regnskab og finans","Office, administration, accounting, and finance","Офіс, адміністрація, бухгалтерія та фінанси","المكتب والإدارة والمحاسبة والتمويل","دفتر، مدیریت، حسابداری و مالی","دفتر، انتظامیہ، اکاؤنٹنگ اور فنانس","Biuro, administracja, księgowość i finanse","Büro, Verwaltung, Buchhaltung und Finanzen"
"Kontor- og sekretærarbejde","Office and secretarial work","Офісна та секретарська робота","الأعمال المكتبية والسكرتارية","کار دفتری و منشی‌گری","دفتری اور سیکرٹریٹ کا کام","Praca biurowa i sekretarska","Büro- und Sekretariatsarbeiten"
"Kontorelev, administration","Office administration trainee","Стажер офісної справи","متدرب إدارة مكتبية","کارآموز مدیریت اداری","انتظامی دفتر کا ٹرینی","Praktykant w administracji biurowej","Auszubildender zur Bürokauffrau"
"Kontormedarbejder","Office worker","офісний працівник","موظف مكتب","کارمند اداری","دفتری ملازم","Pracownik biurowy","Büroangestellte"
"Kran-og truckførerarbejde","Crane and forklift operation","Робота кранів і навантажувачів","تشغيل الرافعات والشاحنات الشوكية","کار با جرثقیل و لیفتراک","کرین اور فورک لفٹ آپریٹر","Obsługa dźwigów i wózków widłowych","Kran- und Staplerbetrieb"
"Køkken- og kantinearbejde","Kitchen and canteen work","Робота кухні та їдальні","أعمال المطبخ والمقصف","کار آشپزخانه و سلف","کچن اور کینٹین کا کام","Praca w kuchni i stołówce","Küchen- und Kantinenarbeiten"
"Køkkenassistent","Kitchen assistant","Помічник на кухні","مساعد مطبخ","دستیار آشپزخانه","کچن اسسٹنٹ","Pomocnik kuchenny","Küchenassistent"
"Køkkenmedhjælper","Kitchen assistant","Помічник на кухні","مساعد مطبخ (معاون)","دستیار آشپزخانه","باورچی خانے کا مددگار","Pomocnik kuchenny","Küchenassistent"
"Lager- og logistikmedarbejder","Warehouse and logistics worker","Працівник складу та логістики","موظف مستودعات ولوجستيات","کارگر انبار و لجستیک","گودام اور لاجسٹک ورکر","Pracownik magazynu i logistyki","Lager- und Logistikmitarbeiter"
"Lagerarbejde mv.","Warehouse work and related roles","Робота на складі та суміжні ролі","أعمال المستودعات وما شابهها","کار انبار و مشاغل مرتبط","گودام کا کام وغیرہ","Praca na magazynie i stanowiska z nią związane","Lagerarbeit und damit verbundene Rollen"
"Landbrug, skovbrug, gartneri, fiskeri og dyrepleje","Agriculture, forestry, horticulture, fishing, and animal care","Сільське господарство, лісове господарство, садівництво, рибальство, догляд за тваринами","الزراعة والغابات والصيد ورعاية الحيوان","کشاورزی، جنگلداری، باغبانی، ماهیگیری و مراقبت از حیوانات","زراعت، جنگلات، باغبانی، ماہی گیری اور جانوروں کی دیکھ بھال","Rolnictwo, leśnictwo, ogrodnictwo, rybołówstwo i opieka nad zwierzętami","Land- und Forstwirtschaft, Gartenbau, Fischerei und Tierpflege"
"Landbrugsmedhjælper","Farm assistant","Помічник по фермі","مساعد زراعي","دستیار مزرعه","فارم اسسٹنٹ","Pomocnik rolniczy","Farmassistent"
"Ledelse","Management","управління","الإدارة","مدیریت","قیادت / مینیجمنٹ","Kierownictwo","Management"
"Ledelse: Administration, strategi og personale","Management: administration, strategy, and personnel","Менеджмент: управління, стратегія, персонал","الإدارة: الإدارة والاستراتيجية والموظفين","مدیریت: اداره، راهبرد و منابع انسانی","قیادت: انتظامیہ، حکمت عملی اور عملہ","Zarządzanie: administracja, strategia i personel","Management: Verwaltung, Strategie und Personal"
"Ledelse: Drift og produktion","Management: operations and production","Менеджмент: операційно-виробничий","الإدارة: العمليات والإنتاج","مدیریت: عملیات و تولید","قیادت: آپریشنز اور پیداوار","Zarządzanie: operacjami i produkcją","Management: Betrieb und Produktion"
"Ledelse: Institution","Management: institution","Управління: заклад","الإدارة: المؤسسات","مدیریت: مؤسسه","قیادت: ادارہ","Zarządzanie: instytucja","Management: Institution"
"Ledelse: Salg, indkøb og markedsføring","Management: sales, procurement, and marketing","Менеджмент: продажі, закупівлі та маркетинг","الإدارة: المبيعات والمشتريات والتسويق","مدیریت: فروش، تدارکات و بازاریابی","قیادت: فروخت، خریداری اور مارکیٹنگ","Zarządzanie: sprzedażą, zaopatrzeniem i marketingiem","Management: Vertrieb, Beschaffung und Marketing"
"Ledelse: Sundhedsområdet","Management: healthcare sector","Управління: галузь охорони здоров'я","الإدارة: القطاع الصحي","مدیریت: بخش سلامت","قیادت: صحت کا شعبہ","Zarządzanie: sektor opieki zdrowotnej","Management: Gesundheitssektor"
"Lufttransport","Air transport","Повітряний транспорт","النقل الجوي","حمل‌ونقل هوایی","ہوائی نقل و حمل","Transport lotniczy","Lufttransport"
"Læge","Doctor","лікар","طبيب","پزشک","ڈاکٹر","Lekarz","Arzt"
"Læge, tandlæge og dyrlæge","Doctor, dentist, and veterinarian","Лікар, стоматолог і ветеринар","طبيب وطبيب أسنان وطبيب بيطري","پزشک، دندان‌پزشک و دامپزشک","ڈاکٹر، ڈینٹسٹ اور ویٹرنری ڈاکٹر","Lekarz, dentysta i weterynarz","Arzt, Zahnarzt und Tierarzt"
"Malerarbejde","Painting work","Малярні роботи","أعمال الدهان","کار نقاشی","پینٹنگ کا کام","Prace malarskie","Malerarbeiten"
"Medico- og laboratoriearbejde","Medical device and laboratory work","Медичне обладнання та лабораторні роботи","الأعمال الطبية والمخبرية","کار تجهیزات پزشکی و آزمایشگاهی","طبی آلات اور لیبارٹری کا کام","Urządzenie medyczne i praca laboratoryjna","Medizinprodukte- und Laborarbeiten"
"Medie, kultur, turisme, idræt og underholdning","Media, culture, tourism, sports, and entertainment","Медіа, культура, туризм, спорт, розваги","الإعلام والثقافة والسياحة والرياضة والترفيه","رسانه، فرهنگ، گردشگری، ورزش و سرگرمی","میڈیا، ثقافت، سیاحت، کھیل اور تفریح","Media, kultura, turystyka, sport i rozrywka","Medien, Kultur, Tourismus, Sport und Unterhaltung"
"Mekaniker","Mechanic","Механік","ميكانيكي","مکانیک","مکینک","Mechanik","Mechaniker"
"Mekanikerarbejde, transport","Transport mechanic work","Робота транспортного механіка","ميكانيكا وسائل النقل","کار مکانیک حمل‌ونقل","ٹرانسپورٹ مکینک کا کام","Praca mechanika transportu","Arbeit als Transportmechaniker"
"Mekanikerarbejde, øvrigt","General mechanic work","Загальні слюсарні роботи","أعمال ميكانيكية أخرى","کار عمومی مکانیکی","دیگر مکینیکل کام","Ogólna praca mechanika","Allgemeine Mechanikerarbeiten"
"Murer","Bricklayer","Муляр","بناء (طوب)","آجرچین","معمار (اینٹوں کا کام کرنے والا)","Murarz","Maurer"
"Murerarbejde","Bricklaying work","Цегляні роботи","أعمال البناء","کار آجرچینی","تعمیراتی معمار کا کام","Prace murarskie","Maurerarbeiten"
"Museumsmedhjælper","Museum assistant","Асистент музею","مساعد متحف","دستیار موزه","میوزیم اسسٹنٹ","Asystent muzeum","Museumsassistent"
"Nedriver","Demolition worker","Підривник","عامل هدم","کارگر تخریب","مسمار کرنے والا ورکر (ڈیمولیشن)","Pracownik rozbiórkowy","Abbrucharbeiter"
"Nærings- og nydelsesmiddel","Food and beverages","Їжа та напої","الأغذية والمشروبات","خوراکی‌ها و نوشیدنی‌ها","خوراک اور مشروبات","Jedzenie i napoje","Speisen und Getränke"
"Omsorgsmedhjælper","Care assistant","Помічник по догляду","مساعد رعاية","دستیار مراقبت","نگہداشت کا معاون","Asystent opieki","Pflegeassistent"
"Overvågning og kontrol","Surveillance and control","Спостереження та контроль","المراقبة والتحكم","نظارت و کنترل","نگرانی اور کنٹرول","Nadzór i kontrola","Überwachung und Kontrolle"
"PAU-elev","Pedagogical assistant trainee","Стажист асистента педагогічного","متدرب مساعد تربوي","کارآموز دستیار تربیتی","پیڈاگوجیکل اسسٹنٹ ٹرینی","Aplikant asystenta pedagogicznego","Auszubildende zur pädagogischen Hilfskraft"
"Ph.d., naturvidenskab og teknik","PhD, natural sciences and engineering","PhD, природничі та технічні науки","دكتوراه في العلوم الطبيعية والهندسة","دکتری در علوم طبیعی و مهندسی","پی ایچ ڈی (سائنس اور انجینئرنگ)","Doktor nauk przyrodniczych i inżynierskich","Ph.D., Naturwissenschaften und Ingenieurwissenschaften"
"Pleje og omsorg","Care and support","Догляд і підтримка","العناية والرعاية","مراقبت و حمایت","نگہداشت اور دیکھ بھال","Opieka i wsparcie","Betreuung und Unterstützung"
"Produktionsmedarbejder","Production worker","Робітник виробництва","عامل إنتاج","کارگر تولید","پروڈکشن ورکر","Pracownik produkcyjny","Produktionsmitarbeiter"
"Projektleder","Project manager","Керівник проекту","مدير مشروع","مدیر پروژه","پروجیکٹ مینیجر","Kierownik projektu","Projektmanager"
"Psykologarbejde","Psychology work","Психологічна робота","العمل النفسي","کار روان‌شناسی","نفسیاتی کام","Praca psychologiczna","Psychologiearbeit"
"Pædagog","Pedagogue","Педагог","تربوي (بيداغوجي)","کارشناس تربیتی","ماہر تعلیم (پیڈاگوج)","Pedagog","Pädagoge"
"Pædagogisk arbejde","Pedagogical work","Педагогічна робота","عمل تربوي","کار تربیتی","تعلیمی و تربیتی کام","Praca pedagogiczna","Pädagogische Arbeit"
"Pædagogisk assistent","Pedagogical assistant","Педагогічний асистент","مساعد تربوي","دستیار تربیتی","تعلیمی معاون","Asystent pedagogiczny","Pädagogischer Assistent"
"Pædagogisk, socialt og kirkeligt arbejde","Pedagogical, social, and church-related work","Педагогічна, громадська та церковна робота","العمل التربوي والاجتماعي والكنيسي","کار تربیتی، اجتماعی و کلیسایی","تعلیمی، سماجی اور مذہبی کام","Praca pedagogiczna, społeczna i kościelna","Pädagogische, soziale und kirchliche Arbeit"
"Pædagogmedhjælper","Pedagogical assistant worker","Помічник педагогічного працівника","مساعد عمل تربوي","کمک‌یار تربیتی","تعلیمی معاون ورکر","Pracownik asystenta pedagogicznego","Pädagogische Hilfskraft"
"Rengøring mv.","Cleaning work and related roles","Робота з прибирання та суміжні ролі","التنظيف وما شابهه","کار نظافت و مشاغل مرتبط","صفائی ستھرائی کا کام وغیرہ","Praca sprzątająca i role z nią związane","Reinigungsarbeiten und damit verbundene Tätigkeiten"
"Rengøring, ejendomsservice og renovation","Cleaning, property services, and waste management","Прибирання, майнові послуги та утилізація відходів","التنظيف وخدمات العقارات وإدارة النفايات","نظافت، خدمات ملکی و مدیریت پسماند","صفائی، پراپرٹی سروسز اور ویسٹ مینجمنٹ","Sprzątanie, obsługa nieruchomości i gospodarka odpadami","Reinigung, Immobiliendienstleistungen und Abfallmanagement"
"Rengøringsassistent","Cleaning assistant","Помічник з прибирання","مساعد تنظيف","دستیار نظافت","صفائی کا معاون","Pomocnik sprzątający","Reinigungsassistent"
"Rørlægger","Pipe layer","Трубоукладач","سباك مواسير","لوله‌گذار","پائپ بچھانے والا (پائپ لیئر)","Warstwa rury","Rohrschicht"
"Salg og indkøb","Sales and procurement","Збут і закупівлі","المبيعات والمشتريات","فروش و تدارکات","فروخت اور خریداری","Sprzedaż i zaopatrzenie","Vertrieb und Beschaffung"
"Salg, indkøb og markedsføring","Sales, procurement, and marketing","Продажі, закупівлі та маркетинг","المبيعات والمشتريات والتسويق","فروش، تدارکات و بازاریابی","فروخت، خریداری اور مارکیٹنگ","Sprzedaż, zaopatrzenie i marketing","Vertrieb, Beschaffung und Marketing"
"Salgsassistent","Sales assistant","Продавець-консультант","مساعد مبيعات","دستیار فروش","سیلز اسسٹنٹ","Asystent sprzedaży","Verkäufer"
"Servering mv.","Serving work and related roles","Сервісна робота та пов’язані з нею ролі","خدمات الضيافة وما شابهها","کار پذیرایی و مشاغل مرتبط","سرونگ کا کام وغیرہ","Pełnienie pracy i powiązanych ról","Ausübende Aufgaben und damit verbundene Aufgaben"
"Slagter","Butcher","М'ясник","جزار","قصاب","قصاب","Rzeźnik","Metzger"
"Slagter- og fiskearbejde","Butchery and fish processing work","Роботи з м'яса та рибообробки","أعمال الجزارة وتجهيز الأسماك","قصابی و فرآوری ماهی","گوشت اور مچھلی کی پروسیسنگ کا کام","Prace rzeźnicze i przetwórstwo ryb","Metzgerei- und Fischverarbeitungsarbeiten"
"Snedker-, tømrer- og glasarbejde","Joinery, carpentry, and glazing work","Столярні, теслярські та склінні роботи","أعمال النجارة والزجاج","نجاری، درودگری و شیشه‌کاری","لکڑی اور شیشے کا کام (کارپینٹری)","Prace stolarskie, stolarskie i szklarskie","Tischler-, Tischler- und Glaserarbeiten"
